crop,profile_variant,min_nitrogen,max_nitrogen,min_phosphorous,max_phosphorous,min_potassium,max_potassium,min_temp_c,max_temp_c,min_humidity,max_humidity,min_ph,max_ph,min_rainfall_mm,max_rainfall_mm
Apple,conservative,10.0,30.0,126.75,141.0,197.0,203.0,22.16,23.34,90.97,93.51,5.71,6.14,106.07,118.45
Apple,typical,2.0,35.0,122.0,144.0,196.0,205.0,21.26,23.75,90.45,94.51,5.6,6.29,103.03,122.2
Apple,adaptive,2.0,30.0,122.0,141.0,196.0,203.0,21.26,23.34,90.45,93.51,5.6,6.14,103.03,118.45
Banana,conservative,92.0,108.25,75.0,88.0,47.0,53.0,26.11,28.66,78.06,82.96,5.74,6.21,96.47,112.09
Banana,typical,85.0,117.0,72.0,92.1,45.0,55.0,25.36,29.22,76.53,84.18,5.63,6.33,91.46,117.61
Banana,adaptive,85.0,108.25,72.0,88.0,45.0,53.0,25.36,28.66,76.53,82.96,5.63,6.21,91.46,112.09
Blackgram,conservative,28.75,52.0,62.0,74.0,16.75,22.0,27.82,32.38,63.04,67.74,6.81,7.42,64.05,71.4
Blackgram,typical,21.9,57.0,58.0,78.0,15.0,24.0,26.42,33.86,61.29,68.78,6.6,7.58,62.3,73.6
Blackgram,adaptive,21.9,52.0,58.0,74.0,15.0,22.0,26.42,32.38,61.29,67.74,6.6,7.42,62.3,71.4
Coconut,conservative,13.75,31.0,9.75,24.25,29.0,33.0,26.27,28.6,92.54,96.76,5.73,6.21,149.13,202.35
Coconut,typical,3.0,37.0,6.0,29.0,26.0,35.0,25.55,29.21,91.4,98.64,5.57,6.38,140.73,218.01
Coconut,adaptive,3.0,31.0,6.0,24.25,26.0,33.0,25.55,28.6,91.4,96.76,5.57,6.21,140.73,202.35
Coffee,conservative,89.0,112.0,23.0,34.25,27.0,33.0,24.22,26.74,53.81,63.58,6.43,7.13,136.01,181.47
Coffee,typical,83.9,117.0,18.0,39.0,26.0,35.0,23.41,27.54,52.11,67.44,6.14,7.29,122.82,192.73
Coffee,adaptive,83.9,112.0,18.0,34.25,26.0,33.0,23.41,26.74,52.11,63.58,6.14,7.13,122.82,181.47
Grapes,conservative,11.75,35.0,125.75,139.0,197.0,203.0,16.21,30.82,80.86,82.9,5.78,6.31,66.84,71.61
Grapes,typical,6.0,39.0,121.9,142.0,195.0,204.0,11.17,39.04,80.28,83.48,5.62,6.42,65.9,74.04
Grapes,adaptive,6.0,35.0,121.9,139.0,195.0,203.0,11.17,30.82,80.28,82.9,5.62,6.31,65.9,71.61
Jute,conservative,70.0,88.25,41.0,53.25,37.0,43.0,23.89,25.89,74.59,83.23,6.35,7.13,161.09,187.64
Jute,typical,63.0,91.0,38.0,57.0,35.0,44.0,23.28,26.57,72.23,87.89,6.13,7.32,153.73,194.07
Jute,adaptive,63.0,88.25,38.0,53.25,35.0,43.0,23.28,25.89,72.23,83.23,6.13,7.13,153.73,187.64
Lentil,conservative,9.0,29.25,61.75,75.0,17.0,22.0,21.72,27.43,62.49,67.44,6.49,7.39,41.57,50.0
Lentil,typical,3.0,36.1,58.9,78.1,15.0,23.1,19.59,28.68,60.85,69.0,6.17,7.67,37.07,53.05
Lentil,adaptive,3.0,29.25,58.9,75.0,15.0,22.0,19.59,27.43,60.85,67.44,6.17,7.39,37.07,50.0
Maize,conservative,67.75,87.0,42.75,56.0,17.0,22.0,19.82,24.9,60.58,69.43,5.85,6.6,70.38,99.88
Maize,typical,61.9,95.1,37.0,59.0,16.0,24.0,18.64,25.7,57.8,72.81,5.72,6.8,64.74,107.24
Maize,adaptive,61.9,87.0,37.0,56.0,16.0,22.0,18.64,24.9,57.8,69.43,5.72,6.6,64.74,99.88
Mango,conservative,9.0,30.25,19.75,35.0,27.0,32.0,28.91,33.38,47.93,52.48,5.18,6.42,91.61,97.48
Mango,typical,2.9,37.0,17.0,37.0,26.0,34.0,27.69,35.38,46.16,53.75,4.76,6.78,90.3,98.87
Mango,adaptive,2.9,30.25,17.0,35.0,26.0,32.0,27.69,33.38,46.16,52.48,4.76,6.42,90.3,97.48
Orange,conservative,9.0,31.0,9.0,23.0,8.0,12.25,17.05,29.55,91.03,93.37,6.48,7.52,106.22,115.57
Orange,typical,4.9,37.0,7.0,28.1,6.0,14.0,11.9,32.33,90.31,94.36,6.25,7.8,102.12,117.66
Orange,adaptive,4.9,31.0,7.0,23.0,6.0,12.25,11.9,29.55,90.31,93.37,6.25,7.52,102.12,115.57
Papaya,conservative,39.0,59.25,54.0,65.0,47.0,52.0,28.55,39.07,91.17,93.51,6.62,6.84,81.94,202.39
Papaya,typical,34.0,68.0,48.0,68.0,46.0,54.0,24.86,42.41,90.55,94.45,6.55,6.97,62.21,234.53
Papaya,adaptive,34.0,59.25,48.0,65.0,46.0,52.0,24.86,39.07,90.55,93.51,6.55,6.84,62.21,202.39
Rice,conservative,69.0,91.0,41.0,54.25,38.0,42.0,21.93,25.51,80.95,83.47,5.87,7.04,204.33,264.13
Rice,typical,62.9,95.0,36.0,58.0,36.0,44.0,20.87,26.47,80.35,84.05,5.38,7.48,191.6,283.98
Rice,adaptive,62.9,91.0,36.0,54.25,36.0,42.0,20.87,25.51,80.35,83.47,5.38,7.04,191.6,264.13
