crop,state_name,season,nitrogen,phosphorous,potassium,temperature_c,humidity,ph,rainfall_mm,moisture
Lentil,Nagaland,Rabi,40.35,67.53,31.53,20.16,65.96,8.07,28.95,13.9
Maize,Tamil Nadu,Rabi,62.59,65.16,17.83,20.36,82.02,6.81,98.33,28.88
Rice,Jammu and Kashmir ,Kharif,73.35,39.01,33.06,24.78,91.91,7.54,252.63,29.0
Mango,Karnataka,Whole Year,43.03,19.96,39.01,38.9,56.88,6.71,115.81,18.3
Coconut,Karnataka,Whole Year,27.27,48.03,31.51,28.66,91.82,6.26,213.03,29.34
Rice,Assam,Summer,58.78,62.59,46.95,24.36,67.63,6.63,168.69,25.65
Banana,Assam,Whole Year,66.63,87.57,46.93,23.97,84.33,6.05,103.29,28.72
Blackgram,Uttar Pradesh,Kharif,39.76,44.77,37.6,29.02,85.68,7.05,82.21,30.59
Coconut,Tamil Nadu,Whole Year,25.29,32.55,25.18,27.65,98.0,6.48,197.11,34.98
Orange,Assam,Kharif,23.34,6.83,15.84,29.43,89.87,7.54,147.45,38.55
Rice,Karnataka,Rabi,60.23,45.5,41.42,21.26,87.4,6.31,294.04,35.62
Coconut,Kerala,Whole Year,33.69,8.91,41.3,27.44,92.91,5.72,190.55,27.96
Rice,Bihar,Autumn,64.38,54.8,33.46,22.84,78.51,6.62,135.59,24.61
Jute,Assam,Kharif,58.84,58.0,24.45,26.54,95.41,5.68,201.4,27.32
Jute,Assam,Kharif,77.26,13.92,29.68,29.25,91.28,5.72,197.12,30.87
Coconut,Kerala,Whole Year,10.0,5.0,44.75,31.05,89.73,6.69,155.34,39.2
Maize,Odisha,Autumn,59.35,41.04,28.22,24.57,61.19,7.21,40.82,12.24
Jute,Assam,Kharif,36.24,34.12,49.22,24.06,69.45,6.43,172.5,20.14
Lentil,Nagaland,Rabi,13.63,81.77,22.45,17.63,66.97,6.5,20.0,28.52
Blackgram,Assam,Rabi,26.92,89.71,20.24,25.67,67.23,7.3,42.3,24.6
Coconut,Karnataka,Whole Year,79.08,32.93,41.57,26.85,95.83,5.61,169.85,33.31
Papaya,Assam,Kharif,45.86,74.76,47.84,38.1,98.0,6.94,300.0,36.82
Coffee,Kerala,Whole Year,71.09,38.75,41.56,28.6,68.22,6.84,227.55,17.2
Coconut,Karnataka,Whole Year,10.0,6.64,28.18,27.34,86.94,6.38,171.35,26.99
Apple,Tamil Nadu,Whole Year,26.14,133.63,168.63,28.27,94.56,6.41,104.04,30.49
Lentil,Nagaland,Rabi,51.2,73.71,15.98,15.87,54.05,6.41,37.19,25.73
Blackgram,Karnataka,Kharif,17.66,53.4,20.09,29.93,82.23,6.18,74.53,24.32
Apple,Tamil Nadu,Whole Year,10.0,111.74,174.13,27.76,91.02,5.54,139.58,28.26
Grapes,Andhra Pradesh,Kharif,10.0,110.23,166.18,10.0,79.6,5.58,120.28,26.23
Coconut,Assam,Whole Year,25.27,46.11,39.15,25.15,98.0,6.85,150.2,27.03
Mango,Andhra Pradesh,Kharif,19.01,63.55,40.39,24.69,47.69,4.5,153.25,21.48
Banana,Gujarat,Whole Year,85.56,79.31,44.38,26.61,71.3,5.89,106.22,26.26
Lentil,Uttarakhand,Rabi,10.0,73.67,29.65,29.04,57.59,6.72,22.33,13.84
Coffee,Kerala,Whole Year,82.84,27.08,44.8,22.16,72.21,7.06,132.8,25.98
Coconut,Kerala,Whole Year,39.06,22.08,46.46,26.54,85.76,7.36,182.66,29.09
Coconut,West Bengal,Whole Year,38.39,20.93,41.74,25.65,98.0,5.61,171.86,33.97
Coconut,Kerala,Whole Year,10.0,20.99,28.65,30.69,89.66,6.4,211.32,24.52
Rice,Uttar Pradesh,Kharif,80.53,61.82,42.32,22.59,91.18,8.45,234.2,30.56
Coffee,Kerala,Whole Year,62.65,50.32,45.52,27.3,66.51,6.25,168.29,26.58
Jute,West Bengal,Kharif,52.3,45.31,51.26,28.2,84.34,7.25,258.53,33.64
Rice,Madhya Pradesh,Kharif,60.08,39.23,27.36,29.88,84.97,8.5,147.99,27.14
Rice,Karnataka,Kharif,70.02,61.73,42.81,21.81,92.72,6.22,250.54,30.22
Banana,Dadra and Nagar Haveli,Kharif,131.37,62.27,49.7,24.3,89.8,6.0,132.19,28.08
Blackgram,Chhattisgarh,Rabi,17.68,75.07,33.85,29.13,69.28,6.93,50.99,26.72
Mango,Andhra Pradesh,Whole Year,37.96,29.73,47.35,34.93,47.51,5.46,135.24,14.73
Jute,Odisha,Autumn,49.8,59.3,35.7,25.99,73.86,6.2,213.06,22.78
Blackgram,Gujarat,Kharif,55.61,58.4,19.33,36.86,67.79,6.48,125.44,23.75
Jute,Odisha,Autumn,46.96,54.44,37.47,24.57,79.31,7.54,181.09,27.03
Maize,Uttar Pradesh,Rabi,100.33,46.6,23.64,15.68,77.67,6.94,81.75,24.4
Coffee,Kerala,Whole Year,62.65,50.32,45.52,27.3,66.51,6.25,168.29,26.58
Jute,Assam,Kharif,66.15,41.13,55.25,25.0,72.43,6.66,204.79,28.96
Lentil,Nagaland,Rabi,24.94,75.82,18.15,17.56,72.48,7.14,20.0,24.42
Mango,Kerala,Whole Year,49.75,37.23,31.87,20.62,57.02,5.77,95.77,20.18
Banana,Assam,Whole Year,115.44,83.69,53.98,25.13,79.49,4.98,108.42,23.75
Orange,Assam,Kharif,10.0,9.98,32.78,24.74,98.0,6.1,176.2,27.28
Grapes,Tamil Nadu,Whole Year,30.52,87.69,169.08,18.42,78.08,6.34,103.75,23.05
Maize,Maharashtra,Rabi,79.39,52.88,22.07,25.11,66.88,5.62,95.79,26.29
Maize,Madhya Pradesh,Kharif,87.62,63.16,31.95,27.59,59.32,5.68,140.79,30.21
Grapes,Tamil Nadu,Whole Year,11.62,130.38,171.16,32.6,83.73,5.78,75.17,24.98
Rice,Punjab,Kharif,71.96,48.43,40.47,27.61,93.58,7.72,205.44,27.34
Rice,West Bengal,Winter,90.33,81.25,35.16,18.65,82.95,7.72,268.43,35.85
Coconut,Assam,Whole Year,27.71,38.66,30.0,23.42,92.57,6.18,221.7,28.06
Coffee,Kerala,Whole Year,84.8,31.85,45.51,28.26,45.4,6.4,286.04,29.18
Mango,Puducherry,Whole Year,10.0,36.35,47.88,35.2,55.15,4.5,74.97,17.88
Jute,Meghalaya,Kharif,72.06,63.99,35.7,25.16,88.15,5.71,190.85,26.82
Lentil,Nagaland,Rabi,29.6,58.63,20.55,21.49,64.58,6.66,57.57,15.62
Coconut,West Bengal,Whole Year,10.0,50.67,28.41,29.12,88.19,6.1,155.54,31.86
Lentil,Uttarakhand,Rabi,10.0,59.06,14.86,27.92,67.45,6.75,61.76,26.66
Maize,Gujarat,Kharif,79.35,52.66,20.73,22.42,76.15,7.36,143.17,28.07
Blackgram,Rajasthan,Kharif,10.0,66.21,24.99,36.34,69.64,6.63,122.63,30.54
Apple,Tamil Nadu,Whole Year,10.0,111.74,174.13,27.76,91.02,5.54,139.58,28.26
Maize,Uttar Pradesh,Rabi,48.05,52.46,38.76,19.29,83.0,5.19,68.37,27.42
Maize,Madhya Pradesh,Kharif,67.12,50.51,31.02,31.28,63.46,5.87,116.36,23.09
Grapes,Karnataka,Whole Year,29.41,111.27,156.92,14.38,87.69,5.76,83.28,35.49
Apple,Tamil Nadu,Whole Year,10.0,116.93,169.06,23.32,87.51,6.0,105.0,30.24
Maize,Uttar Pradesh,Rabi,47.19,45.85,31.92,16.47,66.83,6.59,117.38,22.52
Coffee,Kerala,Whole Year,83.93,35.05,34.21,21.64,78.62,7.14,156.55,18.98
Jute,Assam,Kharif,63.23,50.02,48.61,25.52,84.47,6.86,167.17,27.84
Orange,Andhra Pradesh,Whole Year,41.67,34.0,17.64,26.14,90.67,7.12,116.55,28.73
Lentil,Nagaland,Rabi,57.19,52.64,36.42,22.64,56.33,5.05,61.32,23.14
Maize,Odisha,Summer,49.52,53.25,22.31,29.3,77.99,5.62,112.64,22.92
Orange,Assam,Whole Year,10.0,44.16,16.22,33.93,92.48,7.61,157.84,27.26
Blackgram,Sikkim,Kharif,54.07,68.75,38.7,22.48,67.2,6.84,128.3,30.91
Coconut,Telangana ,Whole Year,10.0,46.3,31.42,24.08,97.59,5.54,157.54,27.12
Jute,Assam,Kharif,49.16,41.94,42.85,27.86,72.09,7.36,158.07,30.15
Banana,Tamil Nadu,Whole Year,117.63,54.25,44.07,33.96,86.94,5.94,137.27,31.26
Apple,Tamil Nadu,Whole Year,35.71,102.26,171.16,23.43,87.3,5.68,143.25,22.13
Rice,Jharkhand,Winter,77.75,39.58,46.95,23.74,85.24,4.63,225.52,31.83
Papaya,Assam,Kharif,43.85,65.94,49.53,16.99,86.35,7.03,288.09,30.36
Maize,Gujarat,Kharif,53.48,63.39,40.69,24.74,71.78,6.49,147.08,26.34
Banana,Madhya Pradesh,Whole Year,84.79,104.12,38.81,27.26,82.16,5.03,114.05,22.25
Maize,Telangana ,Rabi,80.76,45.82,35.69,17.36,52.56,5.11,65.12,21.87
Maize,Uttar Pradesh,Rabi,96.45,46.1,31.16,23.64,78.06,7.33,40.4,18.07
Orange,Assam,Kharif,36.71,25.66,15.99,16.13,98.0,6.3,151.39,30.11
Mango,Tamil Nadu,Whole Year,10.0,53.21,40.5,32.38,49.64,5.81,92.51,16.41
Orange,Telangana ,Whole Year,28.11,28.14,17.41,12.94,89.97,8.04,142.51,29.89
Jute,Odisha,Autumn,31.82,47.17,43.86,26.35,81.01,7.5,140.84,32.22
Rice,Uttar Pradesh,Kharif,35.35,77.38,33.84,26.31,88.56,6.15,271.27,28.9
Coffee,Kerala,Whole Year,83.93,35.05,34.21,21.64,78.62,7.14,156.55,18.98
Banana,Puducherry,Whole Year,94.2,61.01,74.18,26.52,80.9,6.0,105.57,18.1
Orange,Tamil Nadu,Whole Year,21.79,42.8,30.63,23.29,87.56,5.99,121.17,19.2
Lentil,Nagaland,Rabi,14.38,41.52,26.59,24.26,71.41,5.62,55.14,22.27
Coffee,Kerala,Whole Year,82.84,27.08,44.8,22.16,72.21,7.06,132.8,25.98
Coffee,Kerala,Whole Year,62.65,50.32,45.52,27.3,66.51,6.25,168.29,26.58
Grapes,Andhra Pradesh,Whole Year,19.85,104.38,153.11,10.0,86.13,5.94,53.71,33.89
Rice,Kerala,Autumn,66.96,52.47,51.77,19.21,84.47,4.51,176.44,36.89
Orange,Madhya Pradesh,Whole Year,10.0,32.35,19.57,35.35,91.98,7.12,168.68,25.44
Apple,Tamil Nadu,Whole Year,26.14,133.63,168.63,28.27,94.56,6.41,104.04,30.49
