crop,state_name,season,crop_year,price_per_ton,price_low_bound,price_high_bound
Rice,Andaman and Nicobar Islands,Kharif,2000,22692.96,22000.0,32000.0
Banana,Andaman and Nicobar Islands,Whole Year,2000,18000.01,18000.0,30000.0
Coconut,Andaman and Nicobar Islands,Whole Year,2000,70000.02,45000.0,70000.0
Rice,Andaman and Nicobar Islands,Kharif,2001,24604.75,22000.0,32000.0
Coconut,Andaman and Nicobar Islands,Whole Year,2001,70000.04,45000.0,70000.0
Rice,Andaman and Nicobar Islands,Kharif,2002,23344.73,22000.0,32000.0
Banana,Andaman and Nicobar Islands,Whole Year,2002,18000.06,18000.0,30000.0
Coconut,Andaman and Nicobar Islands,Whole Year,2002,70000.07,45000.0,70000.0
Rice,Andaman and Nicobar Islands,Kharif,2003,23666.71,22000.0,32000.0
Banana,Andaman and Nicobar Islands,Whole Year,2003,18000.09,18000.0,30000.0
Coconut,Andaman and Nicobar Islands,Whole Year,2003,70000.1,45000.0,70000.0
Rice,Andaman and Nicobar Islands,Kharif,2004,24773.53,22000.0,32000.0
Banana,Andaman and Nicobar Islands,Whole Year,2004,18000.12,18000.0,30000.0
Coconut,Andaman and Nicobar Islands,Whole Year,2004,70000.13,45000.0,70000.0
Rice,Andaman and Nicobar Islands,Kharif,2005,23954.73,22000.0,32000.0
Banana,Andaman and Nicobar Islands,Whole Year,2005,18000.15,18000.0,30000.0
Coconut,Andaman and Nicobar Islands,Whole Year,2005,70000.16,45000.0,70000.0
Banana,Andaman and Nicobar Islands,Whole Year,2006,18000.17,18000.0,30000.0
Coconut,Andaman and Nicobar Islands,Whole Year,2006,70000.18,45000.0,70000.0
Rice,Andaman and Nicobar Islands,Autumn,2010,23545.53,22000.0,32000.0
Maize,Andaman and Nicobar Islands,Rabi,2010,20000.2,20000.0,28000.0
Blackgram,Andaman and Nicobar Islands,Rabi,2010,80594.39,65000.0,82000.0
Banana,Andaman and Nicobar Islands,Whole Year,2010,18000.22,18000.0,30000.0
Coconut,Andaman and Nicobar Islands,Whole Year,2010,70000.23,45000.0,70000.0
